#,Writer,Total Ep Cnt,Per-Show Breakdown,Top 5 TV Credits (Year),Prelim Sources
884,"Sean Veder",4,"Raising Hope (4)","Raising Hope (10)","[IMDb]"
885,"Seth MacFarlane",65,"Family Guy (30); American Dad (35)","Family Guy (99 - Creator/Voice); American Dad (05 - Creator/Voice); The Orville (17); Ted (Film Series)","[IMDb], [Emmys]"
886,"Seth Meyers",0,"(No retained show credits)","SNL (Writer/Actor, 01); Late Night w/ Seth Meyers (Host/Writer, 14); The Awesomes (13)","[IMDb], [Emmys]"
887,"Sethitation (?)",3,"League (3)","League (09)","[IMDb]"
888,"Shana Gohd",3,"What We Do Shadows (3)","What We Do Shadows (19)","[IMDb]"
889,"Shawn Boxe",3,"Silicon V. (3)","Silicon V. (14)","[IMDb]"
890,"Shawn Harwell",3,"Eastbound (3)","Eastbound & Down (09); Red Oaks (14); The Campaign (Film, 12)","[IMDb]"
891,"Shawn Wines",4,"Red Oaks (4)","Red Oaks (14)","[IMDb]"
892,"Shelley Jensen",9,"Raising Hope (9)","Raising Hope (10 - Director/Writer); The Connors (Dir); George Lopez (Dir); What I Like About You (Dir)","[IMDb]"
893,"Shelly Gossman",4,"A.P. Bio (4)","A.P. Bio (18); SNL (06); Raising Hope (10); Super Fun Night (13)","[IMDb]"
894,"Shepard Boucher",8,"Space Force (3); Angie Tribeca (5)","Angie Tribeca (16); Space Force (20); Men at Work (12)","[IMDb]"
895,"Sheng Wang",3,"Fresh Off Boat (3)","Fresh Off Boat (15); Sheng Wang: Sweet & Juicy (Special, 22)","[IMDb]"
896,"Sid Youngers",10,"Last Man Standing (10)","Last Man Standing (11)","[IMDb]"
897,"Sierra Teller Ornelas",15,"Superstore (9); Rutherford Falls (8); Happy Endings (3); Splitting Up Together (3)","Rutherford Falls (21); Superstore (15); Happy Endings (11); Splitting Up Together (18)","[IMDb]"
898,"Simon Blackwell",30,"Veep (13); Thick of It (11); Avenue 5 (6); Peep Show (0)","Veep (12); Thick of It (05); Avenue 5 (20); Peep Show (03); Back (17)","[IMDb], [Emmys]"
899,"Simon Rich",10,"Miracle Workers (10)","Miracle Workers (19); SNL (07); Man Seeking Woman (15); An American Pickle (Film, 20)","[IMDb]"
900,"Siobhan Thompson",3,"Rick & Morty (3)","Rick & Morty (13); CollegeHumor Originals (06); Adam Ruins Everything (15)","[IMDb]"
901,"Sivert Glarum",19,"KOTH (7); Wilfred (4); Maron (8)","Maron (13); KOTH (97); Wilfred (11); Brickleberry (12); Drawn Together (04); Glenn Martin DDS (09)","[IMDb]"
902,"Sofya Levitsky-Weitz",3,"Bear (3)","Bear (22); The Dropout (22); Gaslit (22); The Interestings (Pilot)","[IMDb]"
903,"Solomon Georgio",3,"Carmichael Show (3)","Carmichael Show (15); Shrill (19); High Fidelity (20); Adam Ruins Everything (15)","[IMDb]"
904,"Sonia Kharkar",3,"Mindy Proj. (3)","Mindy Proj. (12); Bless the Harts (19); Fresh Off Boat (15)","[IMDb]"
905,"Sono Patel",5,"Crazy Ex-GF (5)","Crazy Ex-GF (15)","[IMDb]"
906,"Sophie Zucker",3,"Dickinson (3)","Dickinson (19)","[IMDb]"
907,"Spencer Green",30,"MADtv (30)","MADtv (95)","[IMDb]"
908,"Stacey Harman",3,"Cobra Kai (3)","Cobra Kai (18)","[IMDb]"
909,"Stacy Osei-Kuffour",4,"PEN15 (4)","PEN15 (19); Watchmen (19); The Morning Show (19); Hunters (20)","[IMDb]"
910,"Starlee Kine",4,"Search Party (4)","Search Party (16); Mystery Show (Podcast); This American Life (Radio)","[IMDb], [Gimlet]"
911,"Stefani Robinson",8,"What We Do Shadows (8)","What We Do Shadows (19); Atlanta (16); Fargo (14); Man Seeking Woman (15)","[IMDb], [Emmys]"
912,"Stephen Basilone",7,"Community (4); Goldbergs (3)","Community (09); Goldbergs (13); The Goldbergs: 1990-Something (Pilot); Happy Endings (11)","[IMDb]"
913,"Stephen Lloyd",22,"HIMYM (15); Modern Family (7)","HIMYM (05); Modern Family (09)","[IMDb]"
914,"Stephen Rannazzisi",3,"League (3)","League (09 - Actor/Writer); Punk'd (Actor, 03)","[IMDb]"
915,"Stephanie Beatriz",3,"B99 (3)","B99 (13 - Actor/Writer); Encanto (Voice, 21); Bob's Burgers (Voice, 12); Twisted Metal (23)","[IMDb]"
916,"Stephanie Johnson",3,"Upload (3)","Upload (20); People of Earth (16)","[IMDb]"
917,"Steve Baldikoski",10,"Fuller House (10)","Fuller House (16); Kirstie (13)","[IMDb]"
918,"Steve Callaghan",15,"Family Guy (15)","Family Guy (99)","[IMDb]"
919,"Steve Carell",21,"Space Force (8); Office (3); Angie Tribeca (10)","Office (05 - Actor/Writer); Angie Tribeca (16); Space Force (20); Daily Show (99)","[IMDb], [Netflix]"
920,"Steve Coogan",12,"Alan Partridge (12)","Alan Partridge (94); Philomena (Film, 13); Stan & Ollie (Film, 18); The Trip (Series, 10)","[IMDb], [BAFTA]"
921,"Steve Cragg",43,"Happy Endings (3); MADtv (40)","MADtv (95); Happy Endings (11); Scrubs (01)","[IMDb]"
922,"Steve Hely",15,"American Dad (15)","American Dad (05); The Office (05); 30 Rock (06); Veep (12)","[IMDb]"
923,"Steve Joe",5,"Mike & Molly (5)","Mike & Molly (10)","[IMDb]"
924,"Steve Koren",8,"Veep (8)","Veep (12); SNL (90); Seinfeld (89); Click (Film, 06); Bruce Almighty (Film, 03)","[IMDb]"
925,"Steve Leff",10,"Curb (10)","Curb (00)","[IMDb]"
926,"Steve Lemme",10,"Tacoma FD (10)","Tacoma FD (19); Super Troopers (Film Series); Beerfest (Film, 06); Broken Lizard's Club Dread (04)","[IMDb]"
927,"Steven Davis",25,"Bob's Burgers (25)","Bob's Burgers (11)","[IMDb]"
928,"Steven Levitan",31,"Modern Family (31)","Modern Family (09); Just Shoot Me! (97 - Creator); Wings (90); Frasier (93); Reboot (22)","[IMDb], [Emmys]"
929,"Steven White",6,"Black-ish (6)","Black-ish (14)","[IMDb]"
930,"Stewart Lee",3,"Stewart Lee's Comedy Vehicle (3)","Stewart Lee's Comedy Vehicle (09); Fist of Fun (95); This Morning with Richard Not Judy (98)","[IMDb]"
931,"Stuart McDonald",4,"Playing House (4)","Playing House (14); Crazy Ex-GF (Director); Summer Heights High (Dir)","[IMDb]"
932,"Susan Coyne",4,"Mozart Jungle (4)","Mozart Jungle (14); Slings & Arrows (03)","[IMDb]"
933,"Syreeta Singleton",4,"Insecure (4)","Insecure (16); Rap Sh!t (22); Black Monday (19)","[IMDb]"
934,"Tai Leclaire",3,"Rutherford Falls (3)","Rutherford Falls (21)","[IMDb]"
935,"Tami Sagher",15,"HIMYM (9); Girls (3); Inside Amy Schumer (8); MADtv (10) (Using highest)","HIMYM (05); Inside Amy Schumer (13); MADtv (95); Girls (12); 30 Rock (06)","[IMDb]"
936,"Tanner Kling",3,"Jury Duty (3)","Jury Duty (23)","[IMDb]"
937,"Taylor Cox",4,"Single Parents (4)","Single Parents (18); Abby's (19)","[IMDb]"
938,"Tazbah Chavez",3,"Rutherford Falls (3)","Rutherford Falls (21); Resident Alien (21); Reservation Dogs (21)","[IMDb]"
939,"Ted Cohen",6,"Veep (6)","Veep (12); Friends (94); Succession (18); Stan Against Evil (16)","[IMDb]"
940,"Ted Jessup",10,"Family Guy (10)","Family Guy (99)","[IMDb]"
941,"Ted Melfi",6,"Last Man Standing (6)","Last Man Standing (11); St. Vincent (Film, 14); Hidden Figures (Film, 16)","[IMDb]"
942,"Ted Travelstead",5,"Great North (5)","Great North (21)","[IMDb]"
943,"Teresa Hsiao",18,"American Dad (9); Fresh Off Boat (9)","American Dad (05); Fresh Off Boat (15); Awkwafina Is Nora from Queens (20)","[IMDb]"
944,"Terri Minsky",5,"Neighborhood (5)","Neighborhood (18); Lizzie McGuire (01 - Creator); Andi Mack (17 - Creator); Sex and the City (98)","[IMDb]"
945,"Theresa Mulligan Rosenthal",8,"HIMYM (5); Lady Dynamite (3)","HIMYM (05); Lady Dynamite (16)","[IMDb]"
946,"Thomas Reyes",3,"Great North (3)","Great North (21)","[IMDb]"
947,"Tim Croston",9,"KOTH (9)","KOTH (97); Beavis & B-H (93)","[IMDb]"
948,"Tim Long",23,"Simpsons (23)","Simpsons (89); Letterman (93); Politically Incorrect (93); Spy (15)","[IMDb], [Emmys]"
949,"Tim McAuliffe",7,"Last Man (7)","Last Man on Earth (15); The Last O.G. (18); Late Night w/ Jimmy Fallon (09); The Office (05)","[IMDb]"
950,"Tim Saccardo",6,"Community (6)","Community (09); American Dad (05); Vice Principals (16)","[IMDb]"
951,"Timothy Stack",10,"Raising Hope (10)","Raising Hope (10 - Writer/Actor); My Name Is Earl (05); Son of the Beach (00 - Creator)","[IMDb]"
952,"Tina Fey",17,"Kimmy Schmidt (17); Great News (4)","Kimmy Schmidt (15); 30 Rock (06 - Creator); SNL (97); Mean Girls (Film, 04); Girls5eva (21)","[IMDb], [Emmys]"
953,"TJ Young",5,"Last Man Standing (5)","Last Man Standing (11)","[IMDb]"
954,"Todd Roy",3,"League (3)","League (09)","[IMDb]"
955,"Tom Devanney",15,"Family Guy (15)","Family Guy (99)","[IMDb]"
956,"Tom Gianas",7,"F Is for Family (7)","F Is for Family (15); SNL (88); Nick Swardson's Pretend Time (10)","[IMDb]"
957,"Tom Kauffman",5,"Rick & Morty (5)","Rick & Morty (13); Animals. (16)","[IMDb]"
958,"Tom Papa",3,"Red Oaks (3)","Red Oaks (14); The Marriage Ref (10); Tom Papa: You're Doing Great! (Special, 20)","[IMDb]"
959,"Tom Ragazzo",3,"P&R (3)","P&R (09); Wet Hot Am. Summer (15); Childrens Hospital (08)","[IMDb]"
960,"Tom Saunders",3,"Arrested Dev. (3)","Arrested Dev. (03); The Larry Sanders Show (92); NewsRadio (95); The King of Queens (98)","[IMDb]"
961,"Tommy Blacha",0,"(Shows excluded)","Late Night w/ Conan O'Brien (93); Metalocalypse (06); TV Funhouse (00)","[IMDb]"
962,"Tommy Do",3,"Miracle Workers (3)","Miracle Workers (19)","[IMDb]"
963,"Tony Gama-Lobo",26,"KOTH (26)","KOTH (97); Bob's Burgers (11); The Great North (21); Central Park (20)","[IMDb]"
964,"Tony Roche",26,"Veep (13); Thick of It (10); Avenue 5 (4)","Veep (12); Thick of It (05); Avenue 5 (20); Alan Partridge (94); Succession (18)","[IMDb], [Emmys]"
965,"Tracey Ashley",9,"Last OG (3); Neighborhood (6)","Neighborhood (18); Last OG (18); The Neighborhood (18); The Last O.G. (18)","[IMDb]"
966,"Tracey Wigfield",20,"Mindy Proj. (11); Great News (9); Saved Bell (7); 30 Rock (0)","Mindy Proj. (12); Great News (17); Saved Bell (2020) (20); 30 Rock (06)","[IMDb], [Emmys]"
967,"Tracy Grandstaff",5,"Beavis & B-H (5)","Beavis & B-H (93 - Writer/Voice Actor); Daria (Voice Actor, 97)","[IMDb]"
968,"Travis Bowe",15,"Family Guy (15)","Family Guy (99)","[IMDb]"
969,"Trent O'Donnell",3,"Splitting Up Together (3)","Splitting Up Together (18); No Activity (17); Ghosts (US - Dir); New Girl (Dir)","[IMDb]"
970,"Trey Parker",250,"South Park (250)","South Park (97); Book of Mormon (Stage); Team America (Film, 04); Orgazmo (Film, 97)","[IMDb], [Emmys]"
971,"Tricia McAlpin",8,"B99 (8)","B99 (13); Single Parents (18); Great News (17)","[IMDb]"
972,"Valeri Vaughn",5,"F Is for Family (5)","F Is for Family (15)","[IMDb]"
973,"Vali Chandrasekaran",14,"Modern Family (14)","Modern Family (09); 30 Rock (06); My Name Is Earl (05)","[IMDb]"
974,"Van Robichaux",3,"B99 (3)","B99 (13); Fist Fight (Film, 17); The Muppets (15); Wedding Crashers 2 (Film planned)","[IMDb], [Variety]"
975,"Vanessa Ashley McGee",3,"Sex Lives College Girls (3)","Sex Lives College Girls (21)","[IMDb]"
976,"Vanessa McCarthy",4,"Goldbergs (4)","Goldbergs (13)","[IMDb]"
977,"Vanessa Ramos",17,"Superstore (8); NHIE (3); B99 (3); Crashing (3)","Superstore (15); Crashing (17); B99 (13); NHIE (20); Blockbuster (22)","[IMDb]"
978,"Vera Santamaria",9,"Community (3); PEN15 (3); Playing House (3)","Community (09); PEN15 (19); Playing House (14); BoJack Horseman (14)","[IMDb]"
979,"Vernon Chatman",10,"South Park (10)","South Park (97); Late Night w/ Conan (93); Wonder Showzen (05); Xavier: Renegade Angel (07)","[IMDb], [Emmys]"
980,"Vicky Luu",15,"Superstore (12); Loot (3); American Auto (3); Marry Me (0); Grinder (0); Man Up! (0)","Superstore (15); Loot (22); American Auto (21); Marry Me (14); Grinder (15)","[IMDb]"
981,"Victoria González",3,"Saved Bell (3)","Saved by the Bell (2020) (20)","[IMDb]"
982,"Victoria Radosavljev",3,"HIMYM (3)","HIMYM (05)","[IMDb]"
983,"Victor Quinaz",7,"Big Mouth (7)","Big Mouth (17); Glow (17); Trophy Wife (13)","[IMDb]"
984,"Vijal Patel",6,"Black-ish (6)","Black-ish (14); The Middle (09); Schooled (19)","[IMDb]"
985,"Vince Calandra",10,"Last Man Standing (10)","Last Man Standing (11)","[IMDb]"
986,"Wallace Wolodarsky",13,"Simpsons (13)","Simpsons (89); The Tracey Ullman Show (87); Seeing Other People (Film, 04)","[IMDb]"
987,"Wanda Sykes",10,"Upshaws (10)","Upshaws (21); Wanda Sykes: I'm an Entertainer (Special, 23); Black-ish (Actor); Curb (Actor)","[IMDb], [Emmys]"
988,"Warren Lieberstein",7,"Office (7)","Office (05); Carpoolers (07); Back in Game (13); The Muppets (15)","[IMDb]"
989,"Wellesley Wild",25,"Family Guy (25)","Family Guy (99); Ted (Film Series); Dads (13)","[IMDb]"
990,"Wendy Goldman",6,"Fuller House (6)","Fuller House (16); The War at Home (05)","[IMDb]"
991,"Wendy Molyneux",30,"Bob's Burgers (20); Great North (10)","Bob's Burgers (11); Great North (21); Deadpool 3 (Film, planned)","[IMDb], [Emmys]"
992,"Wes Jones",5,"Animals. (5)","Animals. (16)","[IMDb]"
993,"Will Ferrell",3,"Eastbound (3)","Eastbound (09); SNL (Actor/Writer, 95); Funny or Die Presents... (10); Eurovision Song Contest (Film, 20)","[IMDb]"
994,"Will Forte",13,"Last Man (13)","Last Man on Earth (15); SNL (02); MacGruber (10); Nebraska (Film Actor, 13)","[IMDb], [Emmys]"
995,"Will Graham",3,"Mozart Jungle (3)","Mozart Jungle (14); Daisy Jones & The Six (23); A League of Their Own (22)","[IMDb]"
996,"Will Smith (Writer)",20,"Veep (10); Thick of It (5); Avenue 5 (5)","Veep (12); Thick of It (05); Avenue 5 (20); Damned (16)","[IMDb]"
997,"William Meny",3,"What We Do Shadows (3)","What We Do Shadows (19)","[IMDb]"
998,"Willie Hunter",6,"Carmichael Show (6)","Carmichael Show (15)","[IMDb]"
999,"Wyatt Cenac",18,"KOTH (15); People of Earth (3)","KOTH (97); People of Earth (16); Daily Show (08); Problem Areas (18); aka Wyatt Cenac (14)","[IMDb], [Emmys]"
1000,"Yael Green",6,"Space Force (3); Dickinson (3)","Space Force (20); Dickinson (19); Search Party (16); High Maintenance (16)","[IMDb]"
1001,"Yamara Taylor",4,"Black-ish (4)","Black-ish (14); Party Down (09)","[IMDb]"
1002,"Yassir Lester",9,"Mindy Proj. (3); Girls (3); Black Monday (0); Carmichael Show (3); Kenan (0)","Mindy Proj. (12); Girls (12); Carmichael Show (15); Black Monday (19); Kenan (21)","[IMDb]"
1003,"Yvette Lee Bowser",6,"Black-ish (6)","Black-ish (14); Living Single (93 - Creator); Dear White People (17); A Different World (87)","[IMDb]"
1004,"Zach Dunn",3,"What We Do Shadows (3)","What We Do Shadows (19)","[IMDb]"
1005,"Zeke Nicholson",3,"Loot (3)","Loot (22); A.P. Bio (Actor, 18)","[IMDb]"
1006,"Zoe Jarman",3,"Workaholics (3)","Workaholics (11); The Mindy Project (Actor, 12)","[IMDb]"
